longitude,latitude,rough_climate_r4750,rough_terrain_soil_r4750
-51.99561153894306,-18.580528757907153,0.022757440144485542,0.9681967834751332
-52.61544908498553,-17.30941263087803,0.02091096662292905,1.2753211403157496
-49.22430888743433,-15.35782267612837,0.026500451961183828,1.0904309929292715
-49.594863942133635,-17.9292501769205,0.01159468724107054,0.7665856773741558
-49.63079655349841,-16.837797106715282,0.014473845362457523,1.0273788690260859
-50.18775202965252,-14.857011905231737,0.018386791764486606,0.8746375294067693
-50.51339132014584,-14.704298306931419,0.01867892047939539,0.7147877486801778
-50.163048359339236,-15.813717682819027,0.013136289960421115,1.0324936432127003
-49.92274902083726,-13.228815452765105,0.011791678879625676,0.6270243062054692
-49.39498879141704,-16.2426632309861,0.022877727639216573,1.0931102678313622
-48.44277459025035,-17.033180681011277,0.022841867837827604,0.8644453573475328
-48.97053481967057,-13.59038735462321,0.018264818459727623,0.9671816189932015
-48.829050162421744,-17.59238194537568,0.020492705165715615,0.869482841210078
-49.24901255774762,-16.640167744208988,0.025756540228752064,0.8768051166620311
-50.627926518871085,-16.269612689509685,0.01606725411146636,1.2448064432114965
-48.41807091993706,-15.975414433960541,0.016134007051514663,0.984528613441949
-51.55319126151419,-17.758570272937792,0.014581503977218793,0.8049315887499109
-47.292931026577364,-13.57466683715112,0.037242484572306486,1.4873125554062432
-50.890683739476046,-17.882088624504224,0.025178154813092084,0.8108155729871279
-52.2853182180716,-18.13586269226799,0.013160729486795761,0.8755208666025006
-50.05525052524489,-17.037672257431876,0.015495832913136656,0.9093993193617899
-52.523371768363276,-16.866992353449167,0.025537061492532258,0.8414329532764068
-47.009961712079715,-13.350088016121239,0.03476378982815111,1.0019330743608539
-47.355813096465724,-13.401741144958113,0.03856007226164583,1.5137941907855235
-50.7806401171714,-14.650399389884248,0.01665291541972875,0.6008070936477851
-46.522625670444874,-14.23268278276867,0.03529201703436643,1.0793252585013442
-48.59099661213007,-15.58240149715825,0.020727713519045954,1.002263454796393
-49.93397796188876,-13.576912625361418,0.0075348653848772,0.5579029027985027
-51.05911785524845,-16.166306431835938,0.015825143667849963,0.83592799366642
-51.901288434110505,-16.325757394767155,0.013705960657758075,0.6147958348965158
-51.3578076872182,-18.465993559181914,0.021942987701552737,0.7085020940457781
-50.05525052524489,-15.088328090892514,0.01908879889490486,1.2046244913579103
-46.52037988223457,-14.64590781346365,0.03928733192970928,1.4633216958788384
-48.09467741765403,-15.708165636934984,0.017310517608447092,0.8074702051243303
-49.48032874340839,-17.295937901616238,0.021997416880791997,1.0196442178393206
-52.527863344783874,-16.233680078144904,0.025596589662913328,0.9390854887517982
-52.543583862255964,-17.145470091526217,0.022642421606393483,1.1638225393429216
-50.237159370279095,-17.266742654882353,0.01621951096564068,0.8099131059759216
-50.89292952768634,-16.09219542089608,0.015826374247124363,1.0389307439177469
-50.54483235509003,-16.18427273751833,0.016056581102257276,1.080912353060136
-46.73822133863356,-14.803112988184566,0.03852377390169086,1.4120238757215107
-49.27147043985061,-13.242290182026897,0.02067573824984533,0.8366128674719086
-50.0372842195625,-16.95457809365082,0.015455040980431952,1.0328576362178703
-50.71551225907274,-16.46948784022628,0.01611571829887187,1.0484277797190116
-48.11039793512612,-14.001366597107893,0.015056398918206778,1.1823715133608739
-47.60734137601919,-17.61034825105807,0.014987380037880998,1.0286728508977514
-47.7847586446328,-14.412345839592573,0.019524531481401475,1.4713615960625201
-50.2191930645967,-14.627941507781259,0.018224392481379185,0.6370127957258883
-49.406217732468534,-18.337983631194884,0.01868736822418369,0.8753043827169155
-50.96030317399531,-18.728750779786875,0.02603047668160088,1.1151708731044172
-51.452130792050745,-18.34022941940518,0.023164571262759105,0.7586491754998748
-49.188376276069555,-15.611596743892134,0.018455676347258785,1.012495431561955
-46.35643734288276,-12.988516114263133,0.022195869916289072,0.9375150485799297
-47.78925022105339,-15.943973399016357,0.017475592041440186,0.946655051758922
-48.04077850060686,-16.889450235552154,0.01892563841467147,0.9249475949615942
-51.11750834871622,-16.07198332700339,0.01574916033696567,0.7190172920695322
-47.153692157538835,-14.72226461261381,0.03965754172978569,0.5441178559875258
-52.18874932502875,-18.70404710947359,0.024896686081127502,0.6382410238767501
-50.237159370279095,-16.453767322754185,0.011149946913400528,0.910092137485414
-47.9599301250361,-13.338859075069745,0.01663064050059076,1.2117027406762333
-48.18900052248658,-17.915775447658707,0.015968897942991066,0.815723954426118
-47.984633795349396,-15.272482724137015,0.025550988139709845,1.0258700117077764
-47.49954354192485,-16.4268178642306,0.022333294687629547,0.8361818358018653
-52.92536785800676,-18.26836419667562,0.0215569319354705,0.5879914136315231
