NM_MUN,delta_other_crops,suit_soybean,suit_sugarcane,underused_soybean,underused_sugarcane,zone,opportunity
Portelândia,-0.02168306316172926,0.5797116328009768,0.6276478002980083,0.1677171845195791,0.6333825244156508,1.869540115979864,0.0972276028866279
Itaguari,-0.060898673596261256,0.7637474605153134,0.8355206717061971,0.6732945392379263,0.8302363809711675,3.11392149127133,0.5142269945217942
Arenópolis,-0.06269147726875236,0.5024970777738504,0.5153785192048634,0.5163987234746675,0.6042504023116093,5.496302603561127,0.2594888495121671
Hidrolina,-0.05980542223214066,0.44775019700840063,0.5212736099713559,0.4096838283316198,0.526349525047366,4.0182660360284945,0.18343601484663855
Iaciara,-0.058989633246550134,0.7398265709272868,0.7384449357511854,0.7464048411166913,0.784792853950311,7.243727301920959,0.552210134126888
Posse,-0.045519809075610464,0.5154621899792315,0.5486906925893724,0.5292188591399895,0.5899487765860254,7.754593133623555,0.27279231211060945
Aragarças,-0.05039871120883572,0.23260673747405217,0.18811668625596492,0.21778400017437952,0.1367754001886015,4.783980379807861,0.05065802575461083
Hidrolândia,-0.03529872433186691,0.6314205571762563,0.7045846531565314,0.6028530464369977,0.7243211740319148,4.494160572323416,0.3806538064766526
Aporé,-0.028604067878848807,0.6484867929544723,0.6538509438545951,0.7109274561918751,0.6544312843460411,2.0337853851721217,0.46102706608915023
Araçu,-0.054243337903986055,0.7271538938851941,0.8225004821102221,0.737999060738397,0.851347029078104,2.9407313446575225,0.5366388906995413
Ipameri,-0.0085841079177405,0.5304407193280652,0.5920388310295025,0.3248641960211621,0.6109011953044988,0.3287915832939241,0.17232119782139882
Ipiranga de Goiás,-0.07580155553829941,0.6330120359378639,0.7129686517573739,0.623280649007857,0.5568732241980845,6.098558988091977,0.3945441525891367
Indiara,-0.05702328581455762,0.7525396636576186,0.7799070815017279,0.49514400703240513,0.7760898216660992,8.789600793073038,0.3726155045142517
Inaciolândia,-0.0704201278352569,0.8895910693540583,0.8935809710342536,0.5332542757998142,0.5795372560056845,8.875498643439203,0.47437824144638063
Inhumas,-0.03719635203188837,0.5372983572397035,0.6715463883306497,0.5341771978502841,0.6692536113981831,2.186322043417446,0.2870125308798657
Pires do Rio,-0.010860979761481765,0.5413000899547389,0.6269474267170154,0.4670518876896422,0.6562226581547431,0.6986081003573847,0.2528152288199339
Aragoiânia,-0.0442473783374539,0.6766428913435583,0.7419330608265434,0.7119986750650443,0.7571543816346916,6.602695815235683,0.48176884212879423
Guaraíta,-0.0605893420954017,0.5785250603632919,0.6874496301768418,0.6669497602064725,0.7619369525987418,3.76670432380733,0.38584715028273253
Anápolis,-0.01698832995690681,0.47663451462109635,0.5733958661188662,0.41528554602591194,0.5981593834549478,5.228006636977905,0.19793942465921752
Guarani de Goiás,-0.04795154372072114,0.5125731346206088,0.5362526906754466,0.5069985189273258,0.5572391084574229,7.959749862170334,0.2598738200945855
Anhanguera,-0.013726007276737973,0.549870839899613,0.6343145110835056,0.6023333992485667,0.6658644642564134,0.5044798260327201,0.33120557214439833
Guapó,-0.04919363555415789,0.7107780661061791,0.774518323097607,0.7066014681024514,0.7961155926424209,7.342829428863483,0.5022368250056474
Heitoraí,-0.05373279434627831,0.5832060303279394,0.6712720636292392,0.5523589542574869,0.6822989671045476,5.333601835528896,0.3221390730286008
Aparecida de Goiânia,-0.013412200757268584,0.2626182702015514,0.29823726878673407,0.2877598718374029,0.30903056197831846,6.689027327906537,0.07557099977535887
Planaltina,-0.002977696077857039,0.23944749489688036,0.25976309886578003,0.12114426611281372,0.2643916827143053,2.181087933050956,0.029007691041834278
Pontalina,-0.04751665015866825,0.6633082188729432,0.7281411302829284,0.41710811647953777,0.7432644697018443,8.55479766786776,0.2766712418194903
Aparecida do Rio Doce,-0.03204271888443691,0.6787122241368307,0.6813323359271859,0.7614010604567709,0.7839681632934736,2.692965560075299,0.5167722072027565
