NM_MUN,SIGLA_UF,delta_cattle,delta_conservation,delta_other_crops,delta_pisciculture,delta_solar,delta_soybean,delta_sugarcane,suit_cattle,suit_conservation,suit_other_crops,suit_pisciculture,suit_solar,suit_soybean,suit_sugarcane,underused_other_crops,underused_pisciculture,underused_soybean,underused_sugarcane,zone
Estrela do Norte,GO,0.0,-0.0757,-0.0875,0.0,-0.0702,-0.0097,0.0,0.6037,0.323,0.4485,0.2383,0.3615,0.5059,0.4905,0.6304,0.147,0.5849,0.6164,4
Palestina de Goiás,GO,0.0,-0.0873,-0.0511,0.0007,-0.0278,-0.0001,0.0,0.553,0.3849,0.4697,0.1496,0.222,0.5307,0.5732,0.6087,0.0902,0.5134,0.6539,7
Fazenda Nova,GO,0.0,-0.086,-0.0655,0.0,-0.0447,-0.0025,0.0,0.5376,0.476,0.45,0.1773,0.2882,0.4928,0.4846,0.6201,0.1183,0.6214,0.6131,4
Edéia,GO,0.0,-0.0779,-0.0635,0.0039,-0.0349,0.0,0.0,0.4961,0.3674,0.6295,0.3406,0.2977,0.7846,0.8019,0.8004,0.227,0.4706,0.6365,9
Nova Veneza,GO,0.0,-0.0827,-0.0297,0.0056,-0.0332,0.0005,0.0,0.7983,0.5143,0.4885,0.1669,0.3626,0.537,0.6664,0.563,0.0913,0.583,0.6924,3
Nova Crixás,GO,0.0,-0.086,-0.1581,0.0,-0.0922,-0.0206,0.0,0.4879,0.3753,0.4532,0.2277,0.2,0.3703,0.2765,0.6953,0.1316,0.4314,0.2479,6
Nova Aurora,GO,0.0,-0.0769,-0.0115,0.0061,-0.022,0.0,0.0,0.5191,0.5318,0.3467,0.1049,0.2735,0.464,0.6236,0.4141,0.0448,0.5024,0.6795,0
Nova Roma,GO,-0.0095,-0.0515,-0.0201,0.0014,-0.0149,0.0,-0.0104,0.6269,0.614,0.2145,0.1085,0.1447,0.2614,0.2681,0.2664,0.0873,0.2689,0.2803,5
Nova Iguaçu de Goiás,GO,0.0,-0.0774,-0.0741,0.0,-0.0733,-0.0106,0.0,0.466,0.3943,0.3604,0.1056,0.3288,0.4238,0.4422,0.495,0.0552,0.522,0.5338,5
Nova Glória,GO,0.0,-0.0864,-0.0855,0.0,-0.0673,-0.0006,0.0,0.559,0.3383,0.6039,0.4066,0.4726,0.7492,0.7802,0.7998,0.3283,0.7441,0.5607,6
Novo Gama,GO,0.0,-0.0844,-0.003,0.0098,-0.0157,0.0,0.0092,0.5588,0.5277,0.3016,0.0895,0.2627,0.3613,0.4062,0.3702,0.019,0.3618,0.4286,3
Damolândia,GO,0.0,-0.0832,-0.0281,0.003,-0.0305,0.0002,0.0,0.8383,0.5242,0.4377,0.0982,0.3264,0.4662,0.6514,0.486,0.0,0.4958,0.6975,1
Novo Brasil,GO,0.0,-0.0855,-0.0739,0.0,-0.053,-0.0014,0.0,0.5973,0.494,0.52,0.1366,0.3558,0.538,0.5314,0.7033,0.0754,0.712,0.7012,5
Cumari,GO,0.0,-0.0767,-0.0124,0.0087,-0.0226,0.0,0.0,0.5227,0.5198,0.4152,0.1451,0.2894,0.5533,0.6741,0.5421,0.1128,0.5825,0.7293,1
Novo Planalto,GO,0.0,-0.0818,-0.1658,0.0,-0.1196,-0.0179,0.0,0.4805,0.361,0.4352,0.2351,0.2597,0.3352,0.2205,0.6903,0.1418,0.3575,0.141,5
Damianópolis,GO,-0.0214,-0.037,-0.0362,0.0007,-0.0273,0.0,-0.0322,0.6692,0.4461,0.3703,0.0693,0.2484,0.4415,0.4765,0.4618,0.0183,0.4734,0.5019,6
Diorama,GO,0.0,-0.0878,-0.0724,0.0,-0.0493,-0.0061,0.0,0.4729,0.408,0.456,0.1757,0.2854,0.5199,0.5147,0.6289,0.1117,0.605,0.6326,4
